Data;benPrevTotal
01/07/2017;43154,17314
01/08/2017;47186,0541
01/09/2017;58266,24676
01/10/2017;43989,43774
01/11/2017;48150,67361
01/12/2017;58850,94998
01/01/2018;43366,22961
01/02/2018;44404,83098
01/03/2018;49581,06404
01/04/2018;44964,76386
